content_id,subject,sentiment_value,sentiment_word
tgmdp7VPTv2qicoK,舒适性,0,
rC9gjVLbJeKUt8Zv,配置,0,
pDnAP3eMVs1j47Cb,操控,0,
wypVfJ1g7KBFbHqR,动力,0,
3pjICsZE4KXyHYA8,价格,0,
Jy2MjFViEeBdm4St,油耗,0,
O8u9KG1J6jVqRlS0,安全性,0,
dBKTF3eiMoyUELhb,配置,0,
TCtMvskX4U53FR6n,价格,0,
KY8LH4SCnWqD5d7j,价格,0,
EhvqxVprbJ0KWk3U,配置,0,
X6sGr4hBNU8awZ0H,油耗,0,
91Jqs0gUj6cG5h3V,油耗,0,
vEjHlxB509aiUh1L,动力,0,
wWxseS1cGTg2DhHK,动力,0,
qscgnZPK4FGwLV38,配置,0,
WovLRxkSqwECfc8X,舒适性,0,
m1BoNMzhsLte7EPY,油耗,0,
grwNKCJtsY0A6DVG,操控,0,
cBMxouh5FEnz36DI,价格,0,
n0iGFeumh7wbZfc5,舒适性,0,
2BWMN0iP6mO7QhuI,配置,0,
6vaKfrw5bUSeOdDX,操控,0,
CJ5Y9Waw0RIPmvUK,安全性,0,
iGtjK9Ye0QPDkJRa,动力,0,
PlcNETm3FtzryiJf,动力,0,
Yry8UHfBKa0jsEJD,价格,0,
ZaeYwInl23uJVT4K,动力,0,
YZovRtEAyQJgTi1I,价格,0,
qrM0TVRhAm18Q6uO,动力,0,
LFeDWjKa7HBM4sS2,舒适性,0,
foxsAMS3TVwvdiPh,空间,0,
XEvGcYdbnIVTSL2R,配置,1,
B4xdCgYTVyvurDUj,动力,0,
QWD8lycXxm3SKe4z,价格,0,
3hctzfuMi9F0r17m,价格,1,
1NiFvMeJH0mGW3DL,动力,0,
JoXT2sebKRifZnN5,舒适性,0,
ZhC07bX9fLwAEerz,舒适性,0,
Ps6hZcIAX1fFYlCv,配置,0,
C3eBiPdDrc7jagOt,配置,0,
3IXzVv7KpRC2tdQS,动力,0,
QgBLtMbjoW5zqFwV,价格,0,
vkDGIoJ8TZNdw1B4,操控,1,
VuQntJTzsOL1ao0W,动力,0,
MxZWDrcfogmARhjL,油耗,0,
gCVavlsY0mF25dzR,价格,0,
KztJLy2av0RTEioZ,动力,0,
HmYrcn0IFNevJ7kK,配置,0,
XHMZeUz9uVfik7rA,动力,0,
